Discipline,Score,Percentile,Rank,Year,Validity
Computer Science and Information Technology,426,,8252,2019,2022
Computer Science,417,,7878,2018,2021
COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,278,,24198,2020,2023
Computer Science & Information Technology,359,86.59,13392,2019,2022
CS,441,,6650,2020,2023
CS19S33030062,470,94.05,5945,2019,2022
CS AND IT,428,32,6813,2017,
,,,,,
COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,445,,6458,2020,2023
CS,513,96,4071,2021,
CS,504,36.8,4041,2014,2021
,,,,,
Computer Science and Information Technology (CS),263,72,27263,2020,2023
Computer Science and Engineering,415,31.44,8836,2021,2024
CS & IT,538,98.8,2688,2013,
PASS,247,19.67,30535,2020,2023
Computer Science and Information Technology (CS),336,,15320,2020,2023
CS,379,,11721,2021,2024
CS,381,32.33,11382,2019,2022
,,,,,
Computer Science and Information Technology (CS),395,90.11,9645,2020,2023
COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,601,98.1,1854,2020,2023
Computer Science and Information Technology,356,,,2019,
Computer Science and Information Technology (CS),353,85.73,14537,2021,2024
,,,,,
CS,246,68,32474,2021,2024
Computer science and Information Technology (CS),425,31.33,7414,2018,2021
CS,529,97.09,3135,2018,2021
CS,362,,12049,2018,2021
Computer Science &Information Technology,600,,1826,2017,
Mathematics,411,89.63,1206,2021,2024
,,,,,
CS,496,98,4631,2021,2024
COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,374,,12007,2019,2022
CS and IT,298,78.59,20862,2020,2023
Mathematics,520,96.12,451,2021,2024
Computer Science,383,89.12,10597,2020,2023
Computer Science,341,,15284,2019,2022
csea,357,90.71,14555,2012,2015
Computer Science and Information Technology,333,23.46,13651,2017,2020
Electrical Engineering,241,74.7,28363,2019,2022
Computer Science and Information Technology,548,97.49,2712,2018,2021
CS,367,,11966,2020,2023
Computer Scinece and Information Technology,623,98.74,1459,2015,
Computer science and information technology CS,259,74.65,27344,2018,2021
computer science and information technology,348,24.8,12132,2017,2020
CS & IT,410,92.33,8537,2020,2023
,,,,,
CS,324,,3084,2006,2009
